0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:37 -0200] "GET /Web/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:57 -0200] "POST /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 200 5794
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:52:57 -0200] "GET /Web/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:53:26 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:17 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:18 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:18 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:18 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:18 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:18 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:19 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:19 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:50 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 500 4615
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:54 -0200] "GET /Web/sistema/cadastrarEstado.xhtml HTTP/1.1" 200 8493
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 200 10519
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:55:57 -0200] "GET /Web/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:56:16 -0200] "POST /Web/sistema/cadastrarCidade.xhtml HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [27/Oct/2017:19:56:16 -0200] "GET /Web/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:20:00:04 -0200] "GET / HTTP/1.1" 404 994
